"ComponentFile","ImportedByCount","ImportedBy"
"components\About.tsx","1","app\about\page.tsx"
"components\ContentPage.tsx","1","app\[...slug]\page.tsx"
"components\Hero.tsx","1","app\page.tsx"
"components\IndustriesPage.tsx","1","app\industries\page.tsx"
"components\IndustryDetailPage.tsx","1","app\industries\[industry]\page.tsx"
"components\Journey.tsx","1","app\page.tsx"
"components\LatestNews.tsx","1","app\page.tsx"
"components\NewsArticlePage.tsx","1","app\stakeholder-notices\[slug]\page.tsx"
"components\NewsroomPage.tsx","1","app\stakeholder-notices\page.tsx"
"components\Pathways.tsx","1","app\page.tsx"
"components\QuickTasks.tsx","1","app\page.tsx"
"components\SicCode.tsx","1","app\industries\sic-code-finder\page.tsx"
"components\Updates.tsx","1","app\page.tsx"
"components\NewsroomHero.tsx","2","components\NewsArticlePage.tsx; components\NewsroomPage.tsx"
"components\Footer.tsx","8","app\[...slug]\page.tsx; app\about\page.tsx; app\industries\[industry]\page.tsx; app\industries\page.tsx; app\industries\sic-code-finder\page.tsx; app\page.tsx; app\stakeholder-notices\[slug]\page.tsx; app\stakeholder-notices\page.tsx"
"components\Header.tsx","8","app\[...slug]\page.tsx; app\about\page.tsx; app\industries\[industry]\page.tsx; app\industries\page.tsx; app\industries\sic-code-finder\page.tsx; app\page.tsx; app\stakeholder-notices\[slug]\page.tsx; app\stakeholder-notices\page.tsx"
