"SourceFile","Import","ImportKind","Status","ResolvedFile"
"app\[...slug]\page.tsx","../../components/ContentPage","Relative","FOUND","components\ContentPage.tsx"
"app\[...slug]\page.tsx","../../components/Footer","Relative","FOUND","components\Footer.tsx"
"app\[...slug]\page.tsx","../../components/Header","Relative","FOUND","components\Header.tsx"
"app\[...slug]\page.tsx","../../data/pages","Relative","FOUND","data\pages.ts"
"app\[...slug]\page.tsx","next/navigation","Package","PACKAGE",""
"app\about\page.tsx","../../components/About","Relative","FOUND","components\About.tsx"
"app\about\page.tsx","../../components/Footer","Relative","FOUND","components\Footer.tsx"
"app\about\page.tsx","../../components/Header","Relative","FOUND","components\Header.tsx"
"app\about\page.tsx","next","Package","PACKAGE",""
"app\industries\[industry]\page.tsx","../../../components/Footer","Relative","FOUND","components\Footer.tsx"
"app\industries\[industry]\page.tsx","../../../components/Header","Relative","FOUND","components\Header.tsx"
"app\industries\[industry]\page.tsx","../../../components/IndustryDetailPage","Relative","FOUND","components\IndustryDetailPage.tsx"
"app\industries\[industry]\page.tsx","../../../data/industries","Relative","FOUND","data\industries.ts"
"app\industries\[industry]\page.tsx","next","Package","PACKAGE",""
"app\industries\[industry]\page.tsx","next/navigation","Package","PACKAGE",""
"app\industries\page.tsx","../../components/Footer","Relative","FOUND","components\Footer.tsx"
"app\industries\page.tsx","../../components/Header","Relative","FOUND","components\Header.tsx"
"app\industries\page.tsx","../../components/IndustriesPage","Relative","FOUND","components\IndustriesPage.tsx"
"app\industries\sic-code-finder\page.tsx","../../../components/Footer","Relative","FOUND","components\Footer.tsx"
"app\industries\sic-code-finder\page.tsx","../../../components/Header","Relative","FOUND","components\Header.tsx"
"app\industries\sic-code-finder\page.tsx","../../../components/SicCode","Relative","FOUND","components\SicCode.tsx"
"app\industries\sic-code-finder\page.tsx","../../SicCode.module.css","Relative","FOUND","app\SicCode.module.css"
"app\layout.tsx","./globals.css","Relative","FOUND","app\globals.css"
"app\layout.tsx","next","Package","PACKAGE",""
"app\page.tsx","../components/Footer","Relative","FOUND","components\Footer.tsx"
"app\page.tsx","../components/Header","Relative","FOUND","components\Header.tsx"
"app\page.tsx","../components/Hero","Relative","FOUND","components\Hero.tsx"
"app\page.tsx","../components/Journey","Relative","FOUND","components\Journey.tsx"
"app\page.tsx","../components/LatestNews","Relative","FOUND","components\LatestNews.tsx"
"app\page.tsx","../components/Pathways","Relative","FOUND","components\Pathways.tsx"
"app\page.tsx","../components/QuickTasks","Relative","FOUND","components\QuickTasks.tsx"
"app\page.tsx","../components/Updates","Relative","FOUND","components\Updates.tsx"
"app\stakeholder-notices\[slug]\page.tsx","../../../components/Footer","Relative","FOUND","components\Footer.tsx"
"app\stakeholder-notices\[slug]\page.tsx","../../../components/Header","Relative","FOUND","components\Header.tsx"
"app\stakeholder-notices\[slug]\page.tsx","../../../components/NewsArticlePage","Relative","FOUND","components\NewsArticlePage.tsx"
"app\stakeholder-notices\[slug]\page.tsx","../../../data/newsData","Relative","FOUND","data\newsData.ts"
"app\stakeholder-notices\[slug]\page.tsx","next","Package","PACKAGE",""
"app\stakeholder-notices\[slug]\page.tsx","next/navigation","Package","PACKAGE",""
"app\stakeholder-notices\page.tsx","../../components/Footer","Relative","FOUND","components\Footer.tsx"
"app\stakeholder-notices\page.tsx","../../components/Header","Relative","FOUND","components\Header.tsx"
"app\stakeholder-notices\page.tsx","../../components/NewsroomPage","Relative","FOUND","components\NewsroomPage.tsx"
"app\stakeholder-notices\page.tsx","next","Package","PACKAGE",""
"components\About.tsx","../app/About.module.css","Relative","FOUND","app\About.module.css"
"components\About.tsx","../data/aboutData","Relative","FOUND","data\aboutData.ts"
"components\About.tsx","react","Package","PACKAGE",""
"components\ContentPage.tsx","../data/pages","Relative","FOUND","data\pages.ts"
"components\ContentPage.tsx","next/link","Package","PACKAGE",""
"components\ContentPage.tsx","react","Package","PACKAGE",""
"components\Footer.tsx","next/image","Package","PACKAGE",""
"components\Footer.tsx","next/link","Package","PACKAGE",""
"components\Header.tsx","../data/navigation","Relative","FOUND","data\navigation.ts"
"components\Header.tsx","next/link","Package","PACKAGE",""
"components\Header.tsx","next/navigation","Package","PACKAGE",""
"components\Header.tsx","react","Package","PACKAGE",""
"components\Hero.tsx","next/link","Package","PACKAGE",""
"components\IndustriesPage.tsx","../data/industries","Relative","FOUND","data\industries.ts"
"components\IndustriesPage.tsx","./IndustriesPage.module.css","Relative","FOUND","components\IndustriesPage.module.css"
"components\IndustriesPage.tsx","next/image","Package","PACKAGE",""
"components\IndustriesPage.tsx","next/link","Package","PACKAGE",""
"components\IndustriesPage.tsx","react","Package","PACKAGE",""
"components\IndustryDetailPage.tsx","../data/industries","Relative","FOUND","data\industries.ts"
"components\IndustryDetailPage.tsx","./IndustryDetailPage.module.css","Relative","FOUND","components\IndustryDetailPage.module.css"
"components\IndustryDetailPage.tsx","next/image","Package","PACKAGE",""
"components\IndustryDetailPage.tsx","next/link","Package","PACKAGE",""
"components\IndustryDetailPage.tsx","react","Package","PACKAGE",""
"components\Journey.tsx","../data/homeData","Relative","FOUND","data\homeData.ts"
"components\LatestNews.tsx","../data/homeData","Relative","FOUND","data\homeData.ts"
"components\LatestNews.tsx","next/link","Package","PACKAGE",""
"components\NewsArticlePage.tsx","../data/newsData","Relative","FOUND","data\newsData.ts"
"components\NewsArticlePage.tsx","./NewsArticlePage.module.css","Relative","FOUND","components\NewsArticlePage.module.css"
"components\NewsArticlePage.tsx","./NewsroomHero","Relative","FOUND","components\NewsroomHero.tsx"
"components\NewsArticlePage.tsx","next/image","Package","PACKAGE",""
"components\NewsArticlePage.tsx","next/link","Package","PACKAGE",""
"components\NewsroomHero.tsx","./NewsroomHero.module.css","Relative","FOUND","components\NewsroomHero.module.css"
"components\NewsroomHero.tsx","next/image","Package","PACKAGE",""
"components\NewsroomHero.tsx","next/link","Package","PACKAGE",""
"components\NewsroomPage.tsx","../data/newsData","Relative","FOUND","data\newsData.ts"
"components\NewsroomPage.tsx","./NewsroomHero","Relative","FOUND","components\NewsroomHero.tsx"
"components\NewsroomPage.tsx","./NewsroomPage.module.css","Relative","FOUND","components\NewsroomPage.module.css"
"components\NewsroomPage.tsx","next/image","Package","PACKAGE",""
"components\NewsroomPage.tsx","next/link","Package","PACKAGE",""
"components\Pathways.tsx","../data/homeData","Relative","FOUND","data\homeData.ts"
"components\Pathways.tsx","next/link","Package","PACKAGE",""
"components\Pathways.tsx","react","Package","PACKAGE",""
"components\QuickTasks.tsx","../data/homeData","Relative","FOUND","data\homeData.ts"
"components\QuickTasks.tsx","next/link","Package","PACKAGE",""
"components\QuickTasks.tsx","react","Package","PACKAGE",""
"components\SicCode.tsx","../app/SicCode.module.css","Relative","FOUND","app\SicCode.module.css"
"components\SicCode.tsx","../data/sicCodes","Relative","FOUND","data\sicCodes.ts"
"components\SicCode.tsx","next/link","Package","PACKAGE",""
"components\SicCode.tsx","react","Package","PACKAGE",""
"components\Updates.tsx","next/link","Package","PACKAGE",""
"eslint.config.mjs","eslint/config","Package","PACKAGE",""
"eslint.config.mjs","eslint-config-next/core-web-vitals","Package","PACKAGE",""
"next.config.ts","next","Package","PACKAGE",""
"next-env.d.ts","./.next/dev/types/routes.d.ts","Relative","FOUND",".next\dev\types\routes.d.ts"
