"SourceFile","Link","PathUsedForMatching","Status","MatchedRoute","RouteFile"
"app\[...slug]\page.tsx","/","/","MATCHED_EXPLICIT","/","app\page.tsx"
"components\ContentPage.tsx","/","/","MATCHED_EXPLICIT","/","app\page.tsx"
"components\ContentPage.tsx","/support","/support","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
"components\Footer.tsx","/","/","MATCHED_EXPLICIT","/","app\page.tsx"
"components\Footer.tsx","/about","/about","MATCHED_EXPLICIT","/about","app\about\page.tsx"
"components\Footer.tsx","/about/governance-leadership","/about/governance-leadership","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
"components\Footer.tsx","/about/mandate","/about/mandate","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
"components\Footer.tsx","/about/strategy-performance","/about/strategy-performance","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
"components\Footer.tsx","/about/who-we-are","/about/who-we-are","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
"components\Footer.tsx","/accreditation","/accreditation","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
"components\Footer.tsx","/career-guidance","/career-guidance","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
"components\Footer.tsx","/contact","/contact","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
"components\Footer.tsx","/funding","/funding","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
"components\Footer.tsx","/industries","/industries","MATCHED_EXPLICIT","/industries","app\industries\page.tsx"
"components\Footer.tsx","/industries/sic-code-finder","/industries/sic-code-finder","MATCHED_EXPLICIT","/industries/sic-code-finder","app\industries\sic-code-finder\page.tsx"
"components\Footer.tsx","/learning-programmes","/learning-programmes","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
"components\Footer.tsx","/qualifications","/qualifications","MATCHED_CATCH_ALL","/[...slug]","app\[...slug]\page.tsx"
