"SourceFile","BrowserPath","ExpectedFile","Status"
"app\About.module.css","/services-seta-hero.png","public\services-seta-hero.png","FOUND"
"app\globals.css","/services-seta-hero.png","public\services-seta-hero.png","FOUND"
"app\layout.tsx","/favicon.svg","public\favicon.svg","FOUND"
"components\About.tsx","/logo.png","public\logo.png","FOUND"
"components\Footer.tsx","/logo.png","public\logo.png","FOUND"
"components\Header.tsx","/logo.png","public\logo.png","FOUND"
"components\NewsroomHero.tsx","/newsroom/hero-illustration.png","public\newsroom\hero-illustration.png","FOUND"
"components\SicCode.tsx","/documents/SERVICES-SETA-CHAMBER-AND-SUB-SECTORS-SIC-Codes.pdf","public\documents\SERVICES-SETA-CHAMBER-AND-SUB-SECTORS-SIC-Codes.pdf","FOUND"
"data\aboutData.ts","/board/duduzile.png","public\board\duduzile.png","FOUND"
"data\aboutData.ts","/board/lehlogonolo.png","public\board\lehlogonolo.png","FOUND"
"data\aboutData.ts","/board/liesel.png","public\board\liesel.png","FOUND"
"data\aboutData.ts","/board/makhaya.png","public\board\makhaya.png","FOUND"
"data\aboutData.ts","/board/mamabele.png","public\board\mamabele.png","FOUND"
"data\aboutData.ts","/board/matsebe.png","public\board\matsebe.png","FOUND"
"data\aboutData.ts","/board/nesamari.png","public\board\nesamari.png","FOUND"
"data\aboutData.ts","/board/sibusiso.png","public\board\sibusiso.png","FOUND"
"data\homeData.ts","/news/audit-risk.png","public\news\audit-risk.png","FOUND"
"data\homeData.ts","/news/power-of-x2.png","public\news\power-of-x2.png","FOUND"
"data\homeData.ts","/news/pulse-july-2026.png","public\news\pulse-july-2026.png","FOUND"
"data\homeData.ts","/pathways/employer-sdf.jpg","public\pathways\employer-sdf.jpg","MISSING"
"data\homeData.ts","/pathways/government.jpg","public\pathways\government.jpg","MISSING"
"data\homeData.ts","/pathways/learner.jpg","public\pathways\learner.jpg","MISSING"
"data\homeData.ts","/pathways/provider.jpg","public\pathways\provider.jpg","MISSING"
"data\industries.ts","/industries/source/beauty-treatment.png","public\industries\source\beauty-treatment.png","FOUND"
"data\industries.ts","/industries/source/business-services.png","public\industries\source\business-services.png","FOUND"
"data\industries.ts","/industries/source/cleaning-hiring-hero.png","public\industries\source\cleaning-hiring-hero.png","FOUND"
"data\industries.ts","/industries/source/cleaning-services.png","public\industries\source\cleaning-services.png","FOUND"
"data\industries.ts","/industries/source/collective-services.png","public\industries\source\collective-services.png","FOUND"
"data\industries.ts","/industries/source/communication-collective-services.png","public\industries\source\communication-collective-services.png","FOUND"
"data\industries.ts","/industries/source/communication-marketing-hero.png","public\industries\source\communication-marketing-hero.png","FOUND"
"data\industries.ts","/industries/source/contact-centre.png","public\industries\source\contact-centre.png","FOUND"
"data\industries.ts","/industries/source/domestic-services.png","public\industries\source\domestic-services.png","FOUND"
"data\industries.ts","/industries/source/fashion.png","public\industries\source\fashion.png","FOUND"
"data\industries.ts","/industries/source/funeral-services.png","public\industries\source\funeral-services.png","FOUND"
"data\industries.ts","/industries/source/hair-care.png","public\industries\source\hair-care.png","FOUND"
"data\industries.ts","/industries/source/hiring-services.png","public\industries\source\hiring-services.png","FOUND"
"data\industries.ts","/industries/source/household-services.png","public\industries\source\household-services.png","FOUND"
"data\industries.ts","/industries/source/image-consulting.png","public\industries\source\image-consulting.png","FOUND"
"data\industries.ts","/industries/source/labour-collective-hero.png","public\industries\source\labour-collective-hero.png","FOUND"
"data\industries.ts","/industries/source/labour-recruitment.png","public\industries\source\labour-recruitment.png","FOUND"
"data\industries.ts","/industries/source/management-business-hero.png","public\industries\source\management-business-hero.png","FOUND"
"data\industries.ts","/industries/source/marketing.png","public\industries\source\marketing.png","FOUND"
"data\industries.ts","/industries/source/personal-care-hero.png","public\industries\source\personal-care-hero.png","FOUND"
"data\industries.ts","/industries/source/project-management.png","public\industries\source\project-management.png","FOUND"
"data\industries.ts","/industries/source/real-estate.png","public\industries\source\real-estate.png","FOUND"
"data\industries.ts","/industries/source/real-estate-hero.png","public\industries\source\real-estate-hero.png","FOUND"
"data\newsData.ts","/newsroom/home-audit-risk.png","public\newsroom\home-audit-risk.png","FOUND"
"data\newsData.ts","/newsroom/home-internship.png","public\newsroom\home-internship.png","FOUND"
"data\newsData.ts","/newsroom/home-newsletter-july.png","public\newsroom\home-newsletter-july.png","FOUND"
"data\newsData.ts","/newsroom/newsletter-june.png","public\newsroom\newsletter-june.png","FOUND"
"data\newsData.ts","/newsroom/operational-update.png","public\newsroom\operational-update.png","FOUND"
